5' CTG vs. variant
(0.021267783235078264, 0.6037232779624174)
(0.03413369290765195, 0.1023906239576272)
(-0.2502196026446569, 2.2637695344173245e-13)
(-0.1924255974613861, 1.2602148867251462e-08)
(-0.17630431818858514, 0.0010067994206827465)
(-0.04153586743332641, 0.43140826933323473)
(-0.5082939582481796, 2.088108626324353e-19)
(-0.29742943187054244, 1.817770106684243e-39)
(-0.17003385560511575, 1.6877503649405953e-14)
(0.05835365849458504, 0.3868855352291555)
3' CTG vs variant
(-0.27094640690631, 1.602350162353168e-11)
(-0.06195572932938864, 0.0030100949633402904)
(-0.1760711466994859, 3.1015295953597126e-07)
(0.5479185532671881, 1.1318622480972937e-29)
(-0.232991976933363, 0.00046490910271023637)
(0.16506065416338866, 7.048161585580324e-13)
(-0.11534122492375276, 0.0006967860726114184)
(0.2999326221823772, 4.88454583873169e-43)
(0.30866867918019303, 1.849254940862513e-07)
(-0.15788740973673712, 0.003277359048313022)
5' CTG vs 3' CTG
(-0.14006614986711044, 0.000592633662896318)
(-0.22801315560774665, 2.104287208004435e-28)
(-0.25259313133919437, 1.3204221898282211e-13)
(-0.029159280832065818, 0.39279827516806076)
(0.03917469829612881, 0.4682830912208915)
(0.06897510234532128, 0.19102952791260772)
(-0.3976925356856085, 8.089280367862818e-12)
(-0.09708325531117241, 2.6328811066608758e-05)
(-0.04315148244326527, 0.053134388532249985)
(-0.23436663800129007, 0.0004292029702195231)
