5' CTG vs. variant
(0.004757794739927457, 0.9078792725891094)
(-0.01843579411978471, 0.412750446012858)
(-0.21650932337355072, 5.809035890302895e-10)
(-0.2570625063847656, 0.07457284197034417)
(-0.1747345890555366, 0.003027501418253648)
(-0.04107269646606682, 0.48750132589838874)
(-0.18360067757137258, 0.0031948726670880216)
(-0.32873854978798844, 6.744678593059112e-47)
(-0.1976051034420061, 2.0783950622917267e-18)
(0.03168193659574469, 0.6417841703488462)
3' CTG vs variant
(-0.28990408797723516, 5.761557826360323e-13)
(-0.21801398551177073, 1.0904949915387423e-22)
(-0.18827226374215103, 7.804645989670414e-08)
(-0.3309687787170751, 0.020186603874747595)
(-0.09316330300630636, 0.11593773876201945)
(0.7961070139173263, 2.4298067346966243e-64)
(-0.2722283830252894, 9.958956549658154e-06)
(0.2007997410391896, 6.280805035198224e-18)
(0.3956688006858395, 3.376355439539285e-73)
(-0.198741734237275, 0.003209040313725974)
5' CTG vs 3' CTG
(-0.008988692406493498, 0.8269488738443328)
(-0.21089355692929124, 2.654395661753654e-21)
(0.052117850532351, 0.14030474898370496)
(-0.13915466292872858, 0.3402928986029499)
(-0.09753361433829666, 0.09973362668628766)
(0.010428794296034168, 0.8601229876825197)
(-0.05830774961481776, 0.35281176933776265)
(-0.03390252558081395, 0.14925468554318727)
(0.0074351786382644445, 0.7443528361996145)
(0.03605379674128542, 0.5965004749776094)
